CARD_ID(카드번호),USER_TYPE(사용자구분코드),COMPANY_ID(발행사ID),GETON_DATETIME(승차일시),GETON_STATION_ID(승차역ID),GETOFF_DATETIME(하차일시),GETOFF_STATION_ID(하차역ID),DISTANCE(이용거리)
D**************6,11,C900008,201803310000,336,201803312359,0336,999999
D**************2,11,C900001,201803310000,225,201803312359,2516,999999
D**************F,12,C900008,201803310000,328,201803312359,0339,999999
D**************B,12,C900001,201803310000,247,201803312359,0248,999999
D**************9,12,C900001,201803310000,4105,201803312359,4123,999999
D**************0,11,C900008,201803310000,2515,201803312359,2516,999999
D**************4,12,C900008,201803310000,2512,201803312359,0216,999999
D**************F,11,C900008,201803310000,2827,201803312359,2818,999999
D**************E,11,C900008,201803310000,2727,201803312359,2732,999999
D**************7,44,C900008,201803310000,4712,201803312359,0420,999999
D**************7,11,C900008,201803310000,218,201803312359,2527,999999
D**************1,12,C900008,201803310000,237,201803312359,0420,999999
D**************4,43,C900001,201803310000,4115,201803312359,0326,999999
D**************3,11,C900001,201803310000,334,201803312359,0324,999999
D**************6,23,C900001,201803310000,2817,201803312359,2716,999999
D**************0,23,C900008,201803310000,4706,201803312359,4707,999999
D**************3,23,C900008,201803310000,4106,201803312359,4102,999999
D**************D,11,C900001,201803310000,227,201803312359,2736,999999
D**************3,11,C900008,201803310000,4703,201803312359,0216,999999
D**************F,23,C900008,201803310000,2541,201803312359,2544,999999
D**************5,21,C900008,201803310000,327,201803312359,2751,999999
D**************4,12,C900008,201803310000,2747,201803312359,2731,999999
D**************6,11,C900008,201803310000,4114,201803312359,2528,999999
D**************9,21,C900001,201803310000,4116,201803312359,0342,999999
D**************7,11,C900001,201803310000,4103,201803312359,4127,999999
D**************F,11,C900008,201803310000,2826,201803312359,0329,999999
D**************1,21,C900008,201803310000,4122,201803312359,2620,999999
D**************1,23,C900008,201803310000,2753,201803312359,0156,999999
D**************5,11,C900001,201803310000,2557,201803312359,2811,999999
D**************4,21,C900001,201803310000,2748,201803312359,2751,999999
D**************F,11,C900008,201803310000,2744,201803312359,0333,999999
D**************F,23,C900008,201803310000,2560,201803312359,2531,999999
D**************0,11,C900008,201803310000,4701,201803312359,2640,999999
D**************9,12,C900008,201803310000,209,201803312359,0211,999999
D**************5,11,C900001,201803310000,2550,201803312359,2549,999999
D**************8,11,C900001,201803310000,2614,201803312359,2624,999999
D**************1,11,C900001,201803310000,2711,201803312359,0329,999999
D**************5,11,C900001,201803310000,2825,201803312359,0219,999999
D**************3,23,C900008,201803310000,2759,201803312359,2761,999999
D**************A,11,C900001,201803310000,434,201803312359,0226,999999
D**************E,21,C900008,201803310000,417,201803312359,0421,999999
D**************F,11,C900008,201803310000,2539,201803312359,0226,999999
D**************8,21,C900001,201803310000,2546,201803312359,2536,999999
D**************1,42,C900008,201803310000,2630,201803312359,0420,999999
D**************F,21,C900008,201803310000,2619,201803312359,0318,999999
D**************1,21,C900001,201803310000,244,201803312359,0214,999999
D**************0,11,C900008,201803310000,2644,201803312359,0205,999999
D**************E,11,C900001,201803310000,2732,201803312359,2744,999999
D**************F,11,C900008,201803310000,4705,201803312359,4713,999999
D**************1,11,C900001,201803310000,2641,201803312359,2622,999999
D**************0,11,C900001,201803310000,341,201803312359,0221,999999
D**************0,21,C900001,201803310000,431,~2359,~,999999
D**************C,11,C900008,201803310000,2528,~2359,~,999999
D**************7,11,C900008,201803310000,2613,201803312359,2616,999999
D**************9,23,C900008,201803310000,4101,201803312359,0418,999999
D**************5,23,C900008,201803310000,4108,201803312359,0243,999999
D**************0,23,C900001,201803310000,4104,201803312359,4109,999999
D**************5,21,C900008,201803310000,2532,201803312359,2515,999999
D**************E,12,C900001,201803310000,2633,201803312359,0216,999999
D**************4,21,C900001,201803310000,2524,201803312359,4118,999999
D**************7,11,C900008,201803310000,2735,~2359,~,999999
D**************1,21,C900001,201803310000,245,~2359,~,999999
D**************4,11,C900008,201803310000,2639,201803312359,0150,999999
D**************D,12,C900008,201803310000,2638,201803312359,0216,999999
D**************2,23,C900008,201803310000,4707,201803312359,0420,999999
D**************6,21,C900008,201803310000,2635,201803312359,2621,999999
D**************3,21,C900008,201803310000,4713,201803312359,0150,999999
